"URL","author","journal","title","volume"
"Papers/2011/PhysRevB_84_125411_2011.pdf","Ming-Wei Lin, Cheng Ling, Luis A. Agapito, Nicholas Kioussis, Yiyang Zhang, Mark Ming-Cheng Cheng","PHYSICAL REVIEW B","""Approaching the intrinsic band gap in suspended high-mobility graphene nanoribbons""","84"
"Papers/2011/PhysRevB_84_035325_2011.pdf","JAdam Gali, Efthimios Kaxiras, Gergely T. Zimanyi, Sheng Meng","PHYSICAL REVIEW B","""Effect of symmetry breaking on the optical absorption of semiconductor nanoparticles""","84"
"Papers/2011/PhysRevB_83_054204_2011.pdf","Jan M. Knaup, Han Li, Joost J. Vlassak, and Efthimios Kaxiras","PHYSICAL REVIEW B","""Influence of CH2 content and network defects on the elastic properties of organosilicate glasses""","83"
"Papers/2011/PhysRevB_83_045303_2011.pdf","Martin Heiss, Sonia Conesa-Boj, Jun Ren, Hsiang-Han Tseng, Adam Gali","PHYSICAL REVIEW B","""Direct correlation of crystal structure and optical properties in wurtzite/zinc-blende
GaAs nanowire heterostructures""","83"
"Papers/2011/PhilTransRSocA_369_2354_2011.pdf","Simone Melchionna, Efthimios Kaxiras, Massimo Bernaschi and Sauro Succi","Phil. Trans. R. Soc. A","""Endothelial shear stress from large-scale blood flow simulations""","369"
"Papers/2011/NewJPhys_13_025025_2011.pdf","J R Maze, A Gali, E Togan, Y Chu, A Trifonov","New Journal of Physics","""Properties of nitrogen-vacancy centers in diamond:
the group theoretic approach""","13"
"Papers/2011/NanoLett_11_2962-2967_2011.pdf","Kejie Zhao, Wei L. Wang, John Gregoire, Matt Pharr, Zhigang Suo","Nano Lett.","""Lithium-Assisted Plastic Deformation of Silicon Electrodes in
Lithium-Ion Batteries: A First-Principles Theoretical Study""","11"
"Papers/2011/Langmuir_27_14248_2011.pdf","Masataka Katono, Takeru Bessho, Sheng Meng, Robin Humphry-Baker, Guido Rothenberger","Langmuir","""D-π-A Dye System Containing Cyano-Benzoic Acid as Anchoring
Group for Dye-Sensitized Solar Cells""","27"
"Papers/2011/JPhysChemLett_2_105-113_2011.pdf","Thomas D. Kuhne, Tod A. Pascal, Efthimios Kaxiras, and Yousung Jung","J. Phys. Chem. Lett.","""New Insights into the Structure of the Vapor/Water
Interface from Large-Scale First-Principles Simulations""","2"
"Papers/2011/JPhysChemC_115_9276-9282_2011.pdf","Sheng Meng, Efthimios Kaxiras, Md. K. Nazeeruddin, and Michael Gratzel","J. Phys. Chem. C","""Design of Dye Acceptors for Photovoltaics from First-Principles
Calculations""","115"
